survey_id,location,site_code,site_name,latitude,longitude,survey_year,taxon,survey_mean,RLS_category,survey_date,number
912353274,Batemans,BMP25,Barren Bommie,-36.13559,150.12916,2018,NA,15,Ecklonia radiata,3/05/2018,1.42
812300031,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2005,Ecklonia radiata,0,NA,5/12/2005,11.82
812300032,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2005,Ecklonia radiata,0,NA,5/12/2005,7.2
812300033,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2005,Ecklonia radiata,0,NA,5/12/2005,0.96
812300034,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2005,Ecklonia radiata,0,NA,5/12/2005,7.74
812318811,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2007,Ecklonia radiata,0,NA,10/12/2007,2.82
812318812,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2007,Ecklonia radiata,0,NA,10/12/2007,1.1
812318813,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2007,Ecklonia radiata,0,NA,10/12/2007,1.96
812318814,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2007,Ecklonia radiata,0,NA,10/12/2007,5.86
812331241,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2017,Ecklonia radiata,0,NA,25/11/2017,5.02
812331242,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2017,Ecklonia radiata,0,NA,25/11/2017,4.36
812331243,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2017,Ecklonia radiata,0,NA,25/11/2017,2.6
812331244,Batemans,BMP-S3,Belowla Island South West,-35.55425,150.38896,2017,Ecklonia radiata,1.6,NA,25/11/2017,2.1
812300251,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2006,Ecklonia radiata,28.8,NA,8/12/2006,0.32
812300252,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2006,Ecklonia radiata,8,NA,8/12/2006,0.16
812300253,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2006,Ecklonia radiata,3.2,NA,8/12/2006,0.1
812300254,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2006,Ecklonia radiata,0,NA,8/12/2006,0
812318961,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2007,Ecklonia radiata,1.6,NA,11/12/2007,0.92
812318962,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2007,Ecklonia radiata,1.6,NA,11/12/2007,0.24
812318963,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2007,Ecklonia radiata,15.2,NA,11/12/2007,0.06
812318964,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2007,Ecklonia radiata,21.2,NA,11/12/2007,0.44
2002477,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2010,NA,13,Ecklonia radiata,20/12/2010,0.24
2002478,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2010,NA,11,Ecklonia radiata,20/12/2010,0.34
2002479,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2010,NA,24,Ecklonia radiata,20/12/2010,0.92
2002480,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2010,NA,38,Ecklonia radiata,20/12/2010,0.02
912340141,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2011,NA,8,Ecklonia radiata,22/10/2011,0.08
912340142,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2011,NA,47,Ecklonia radiata,22/10/2011,0
912340185,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2011,NA,36,Ecklonia radiata,22/10/2011,0.64
912340186,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2011,NA,33,Ecklonia radiata,22/10/2011,1.84
912343044,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2013,NA,65,Ecklonia radiata,23/03/2013,0.06
912353805,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2019,Ecklonia radiata,7.6,NA,23/11/2019,0.22
912353806,Batemans,BMP-S25,Bingi Bingi Point,-36.01291,150.16603,2019,Ecklonia radiata,7.6,NA,23/11/2019,0.24
812300241,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2006,Ecklonia radiata,34,NA,8/12/2006,0.16
812300242,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2006,Ecklonia radiata,22.8,NA,8/12/2006,0
812300243,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2006,Ecklonia radiata,43.6,NA,8/12/2006,0.54
812300244,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2006,Ecklonia radiata,21.6,NA,8/12/2006,0.16
812318951,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2007,Ecklonia radiata,5.6,NA,11/12/2007,0
812318952,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2007,Ecklonia radiata,31.2,NA,11/12/2007,0.08
812318953,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2007,Ecklonia radiata,0.8,NA,11/12/2007,0
812318954,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2007,Ecklonia radiata,10.8,NA,11/12/2007,0.02
2001082,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2010,NA,0,Ecklonia radiata,28/01/2010,0.36
2002472,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2010,NA,0,Ecklonia radiata,20/12/2010,0.02
912353837,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2019,Ecklonia radiata,2.4,NA,23/11/2019,0
912353838,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2019,Ecklonia radiata,2.4,NA,23/11/2019,0.02
912353839,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2019,Ecklonia radiata,18.4,NA,23/11/2019,0.04
912353840,Batemans,BMP-S24,Bingi Bingi Point Nth,-36.01152,150.16517,2019,Ecklonia radiata,0,NA,23/11/2019,0
812300341,Batemans,BMP-S33,Bogola North,-36.26173,150.15152,2006,Ecklonia radiata,0,NA,13/12/2006,2.8
812300342,Batemans,BMP-S33,Bogola North,-36.26173,150.15152,2006,Ecklonia radiata,10,NA,13/12/2006,2.54
812300343,Batemans,BMP-S33,Bogola North,-36.26173,150.15152,2006,Ecklonia radiata,0,NA,13/12/2006,2.64
812300344,Batemans,BMP-S33,Bogola North,-36.26173,150.15152,2006,Ecklonia radiata,0,NA,13/12/2006,1.58
2002507,Batemans,BMP-S33,Bogola North,-36.26173,150.15152,2010,NA,0,Ecklonia radiata,13/12/2010,3.12
912353823,Batemans,BMP-S33,Bogola North,-36.26173,150.15152,2019,Ecklonia radiata,4,NA,26/11/2019,2.48
912353824,Batemans,BMP-S33,Bogola North,-36.26173,150.15152,2019,Ecklonia radiata,29.6,NA,26/11/2019,0.94
812300331,Batemans,BMP-S32,Bogola Point,-36.26515,150.15226,2006,Ecklonia radiata,8.4,NA,13/12/2006,0.02
812300332,Batemans,BMP-S32,Bogola Point,-36.26515,150.15226,2006,Ecklonia radiata,29.2,NA,13/12/2006,0
812300333,Batemans,BMP-S32,Bogola Point,-36.26515,150.15226,2006,Ecklonia radiata,4,NA,13/12/2006,0
812300334,Batemans,BMP-S32,Bogola Point,-36.26515,150.15226,2006,Ecklonia radiata,0,NA,13/12/2006,0
2002502,Batemans,BMP-S32,Bogola Point,-36.26515,150.15226,2010,NA,0,Ecklonia radiata,13/12/2010,0
2002504,Batemans,BMP-S32,Bogola Point,-36.26515,150.15226,2010,NA,0,Ecklonia radiata,13/12/2010,0
2002813,Batemans,BMP29,Broulee Headland East,-35.862,150.18527,2011,NA,0,Ecklonia radiata,26/06/2011,0.82
812319011,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2007,Ecklonia radiata,4.4,NA,12/12/2007,0.44
812319012,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2007,Ecklonia radiata,22.8,NA,12/12/2007,0.3
812319013,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2007,Ecklonia radiata,19.2,NA,12/12/2007,0.9
812319014,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2007,Ecklonia radiata,38.4,NA,12/12/2007,0.34
2001158,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2010,NA,0,Ecklonia radiata,11/01/2010,1.72
2002515,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2010,NA,0,Ecklonia radiata,18/11/2010,1.18
812331361,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2017,Ecklonia radiata,0,NA,28/11/2017,4.34
812331362,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2017,Ecklonia radiata,30.8,NA,28/11/2017,3.38
812331363,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2017,Ecklonia radiata,0,NA,28/11/2017,1.48
812331364,Batemans,BMP-S37,Broulee Is South,-35.86214,150.18729,2017,Ecklonia radiata,1.6,NA,28/11/2017,0.94
812300121,Batemans,BMP-S12,Broulee Island,-35.86079,150.18594,2006,Ecklonia radiata,23.6,NA,4/12/2006,2.24
812300122,Batemans,BMP-S12,Broulee Island,-35.86079,150.18594,2006,Ecklonia radiata,0,NA,4/12/2006,3.22
812300123,Batemans,BMP-S12,Broulee Island,-35.86079,150.18594,2006,Ecklonia radiata,0,NA,4/12/2006,2.24
812300124,Batemans,BMP-S12,Broulee Island,-35.86079,150.18594,2006,Ecklonia radiata,52,NA,4/12/2006,1.7
812331371,Batemans,BMP-S12,Broulee Island,-35.86079,150.18594,2017,Ecklonia radiata,0.8,NA,28/11/2017,0.7
812331372,Batemans,BMP-S12,Broulee Island,-35.86079,150.18594,2017,Ecklonia radiata,16.4,NA,28/11/2017,1.54
812331373,Batemans,BMP-S12,Broulee Island,-35.86079,150.18594,2017,Ecklonia radiata,31.2,NA,28/11/2017,1.5
812331374,Batemans,BMP-S12,Broulee Island,-35.86079,150.18594,2017,Ecklonia radiata,10.4,NA,28/11/2017,0.64
812300131,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2006,Ecklonia radiata,2.8,NA,4/12/2006,1.48
812300132,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2006,Ecklonia radiata,0,NA,4/12/2006,3.08
812300133,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2006,Ecklonia radiata,0,NA,4/12/2006,2.54
812300134,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2006,Ecklonia radiata,0,NA,4/12/2006,2.52
812318861,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2007,Ecklonia radiata,0,NA,12/12/2007,2.6
812318862,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2007,Ecklonia radiata,0,NA,12/12/2007,1.92
812318863,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2007,Ecklonia radiata,0,NA,12/12/2007,1.66
812318864,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2007,Ecklonia radiata,0,NA,12/12/2007,2.04
2002426,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2010,NA,0,Ecklonia radiata,18/11/2010,2.88
2002427,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2010,NA,0,Ecklonia radiata,18/11/2010,1.84
2002428,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2010,NA,0,Ecklonia radiata,18/11/2010,5.4
2002429,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2010,NA,0,Ecklonia radiata,18/11/2010,4.6
2000928,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2010,NA,0,Ecklonia radiata,14/01/2010,2.14
2000929,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2010,NA,0,Ecklonia radiata,14/01/2010,4
2000930,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2010,NA,2,Ecklonia radiata,14/01/2010,3.12
2000931,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2010,NA,0,Ecklonia radiata,14/01/2010,2.72
912340175,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2012,NA,0,Ecklonia radiata,13/01/2012,4.4
912340176,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2012,NA,0,Ecklonia radiata,13/01/2012,4
912340217,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2012,NA,19,Ecklonia radiata,13/01/2012,1.3
912340218,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2012,NA,0,Ecklonia radiata,13/01/2012,1.5
912343036,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2013,NA,2,Ecklonia radiata,12/03/2013,6.42
912344999,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2015,NA,0,Ecklonia radiata,19/05/2015,6.1
812331341,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2017,Ecklonia radiata,0,NA,28/11/2017,3.68
812331342,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2017,Ecklonia radiata,14,NA,28/11/2017,3.22
812331343,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2017,Ecklonia radiata,0,NA,28/11/2017,1.72
812331344,Batemans,BMP-S13,Broulee North,-35.85507,150.19207,2017,Ecklonia radiata,0,NA,28/11/2017,1.1
912353857,Batemans,BMP-S39,Brush Island East,-35.530187,150.424206,2019,Ecklonia radiata,0,NA,29/11/2019,13.58
912353858,Batemans,BMP-S39,Brush Island East,-35.530187,150.424206,2019,Ecklonia radiata,0,NA,29/11/2019,7.88
912353859,Batemans,BMP-S39,Brush Island East,-35.530187,150.424206,2019,Ecklonia radiata,0,NA,29/11/2019,10
912353860,Batemans,BMP-S39,Brush Island East,-35.530187,150.424206,2019,Ecklonia radiata,0,NA,29/11/2019,10
812300011,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2005,Ecklonia radiata,0,NA,5/12/2005,7.1
812300012,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2005,Ecklonia radiata,0,NA,5/12/2005,6.58
812300013,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2005,Ecklonia radiata,0,NA,5/12/2005,3.44
812300014,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2005,Ecklonia radiata,0,NA,5/12/2005,2.88
812318801,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2007,Ecklonia radiata,0,NA,10/12/2007,2.6
812318802,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2007,Ecklonia radiata,0,NA,10/12/2007,2.98
812318803,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2007,Ecklonia radiata,0,NA,10/12/2007,1.78
812318804,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2007,Ecklonia radiata,0,NA,10/12/2007,1.42
812331151,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2017,Ecklonia radiata,0,NA,23/11/2017,2.38
812331152,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2017,Ecklonia radiata,0,NA,23/11/2017,2.18
812331153,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2017,Ecklonia radiata,0,NA,23/11/2017,3.1
812331154,Batemans,BMP-S1,Brush Island Mid North,-35.52617,150.41713,2017,Ecklonia radiata,0,NA,23/11/2017,7.2
812300021,Batemans,BMP-S2,Brush Island Mid South,-35.53148,150.41545,2005,Ecklonia radiata,28.4,NA,5/12/2005,0.02
812300022,Batemans,BMP-S2,Brush Island Mid South,-35.53148,150.41545,2005,Ecklonia radiata,12,NA,5/12/2005,1.32
812300023,Batemans,BMP-S2,Brush Island Mid South,-35.53148,150.41545,2005,Ecklonia radiata,0.8,NA,5/12/2005,0.26
812300024,Batemans,BMP-S2,Brush Island Mid South,-35.53148,150.41545,2005,Ecklonia radiata,6.8,NA,5/12/2005,4.06
812331231,Batemans,BMP-S2,Brush Island Mid South,-35.53148,150.41545,2017,Ecklonia radiata,4,NA,25/11/2017,6.64
812331232,Batemans,BMP-S2,Brush Island Mid South,-35.53148,150.41545,2017,Ecklonia radiata,13.6,NA,25/11/2017,6.96
812331233,Batemans,BMP-S2,Brush Island Mid South,-35.53148,150.41545,2017,Ecklonia radiata,32,NA,25/11/2017,0.02
812331234,Batemans,BMP-S2,Brush Island Mid South,-35.53148,150.41545,2017,Ecklonia radiata,0.4,NA,25/11/2017,0
812300351,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2006,Ecklonia radiata,0.8,NA,14/12/2006,0.52
812300352,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2006,Ecklonia radiata,24,NA,14/12/2006,0
812300353,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2006,Ecklonia radiata,61.6,NA,14/12/2006,0.08
812300354,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2006,Ecklonia radiata,41.6,NA,14/12/2006,0.66
812318981,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2007,Ecklonia radiata,3.2,NA,6/12/2007,0.74
812318982,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2007,Ecklonia radiata,0,NA,6/12/2007,1.42
812318983,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2007,Ecklonia radiata,0,NA,6/12/2007,1.24
812318984,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2007,Ecklonia radiata,0,NA,6/12/2007,1.66
812331161,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2017,Ecklonia radiata,0,NA,23/11/2017,2.92
812331162,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2017,Ecklonia radiata,26,NA,23/11/2017,0.04
812331163,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2017,Ecklonia radiata,29.2,NA,23/11/2017,0
812331164,Batemans,BMP-S34,Brush Island South,-35.53337,150.41589,2017,Ecklonia radiata,27.2,NA,23/11/2017,0.96
812300361,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2006,Ecklonia radiata,44.8,NA,14/12/2006,2.1
812300362,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2006,Ecklonia radiata,51.2,NA,14/12/2006,0.32
812300363,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2006,Ecklonia radiata,30.8,NA,14/12/2006,0.88
812300364,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2006,Ecklonia radiata,78.4,NA,14/12/2006,1.02
812318991,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2007,Ecklonia radiata,27.2,NA,6/12/2007,1.56
812318992,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2007,Ecklonia radiata,31.2,NA,6/12/2007,1.2
812318993,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2007,Ecklonia radiata,24,NA,6/12/2007,0
812318994,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2007,Ecklonia radiata,25.6,NA,6/12/2007,0.46
812331221,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2017,Ecklonia radiata,30,NA,25/11/2017,0.28
812331222,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2017,Ecklonia radiata,13.6,NA,25/11/2017,0.82
812331223,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2017,Ecklonia radiata,34,NA,25/11/2017,1.42
812331224,Batemans,BMP-S35,Brush Island South West,-35.53292,150.41296,2017,Ecklonia radiata,39.6,NA,25/11/2017,1.44
812300151,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2006,Ecklonia radiata,0,NA,5/12/2006,3.18
812300152,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2006,Ecklonia radiata,0,NA,5/12/2006,5.52
812300153,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2006,Ecklonia radiata,0,NA,5/12/2006,5.52
812300154,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2006,Ecklonia radiata,0,NA,5/12/2006,3.88
812318871,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2007,Ecklonia radiata,0,NA,3/12/2007,2.18
812318872,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2007,Ecklonia radiata,0,NA,3/12/2007,2.12
812318873,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2007,Ecklonia radiata,0,NA,3/12/2007,3.26
812318874,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2007,Ecklonia radiata,0,NA,3/12/2007,2.54
812331351,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2017,Ecklonia radiata,0,NA,28/11/2017,3.12
812331352,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2017,Ecklonia radiata,0,NA,28/11/2017,2.14
812331353,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2017,Ecklonia radiata,16.4,NA,28/11/2017,0.04
812331354,Batemans,BMP-S15,Burrewarra Point,-35.83132,150.23347,2017,Ecklonia radiata,0,NA,28/11/2017,3.3
2002803,Batemans,BMP24,Burrewarra Point NW,-35.83002,150.2319,2011,NA,0,Ecklonia radiata,19/05/2011,5.64
2001234,Batemans,BMP14,Burrewarra Pt S,-35.83455,150.22347,2008,NA,0,Ecklonia radiata,18/02/2008,1.45
912353861,Batemans,BMP14,Burrewarra Pt S,-35.83455,150.22347,2019,Ecklonia radiata,20,NA,28/11/2019,2.16
912353862,Batemans,BMP14,Burrewarra Pt S,-35.83455,150.22347,2019,Ecklonia radiata,27.6,NA,28/11/2019,2.64
912353863,Batemans,BMP14,Burrewarra Pt S,-35.83455,150.22347,2019,Ecklonia radiata,12.8,NA,28/11/2019,1.92
912353864,Batemans,BMP14,Burrewarra Pt S,-35.83455,150.22347,2019,Ecklonia radiata,24.4,NA,28/11/2019,0.4
2002809,Batemans,BMP27,Caulerpa Reef,-35.74794,150.26006,2011,NA,0,Ecklonia radiata,20/06/2011,0.22
2001247,Batemans,BMP4,Dalmeny Reserve N point,-36.16213,150.13006,2008,NA,0,Ecklonia radiata,26/12/2008,2.53
2000950,Batemans,BMP5,Dalmeny point N of ramp,-36.16112,150.13343,2008,NA,0,Ecklonia radiata,1/04/2008,5.42
912353833,Batemans,BMP5,Dalmeny point N of ramp,-36.16112,150.13343,2019,Ecklonia radiata,4.8,NA,19/11/2019,0.32
912353834,Batemans,BMP5,Dalmeny point N of ramp,-36.16112,150.13343,2019,Ecklonia radiata,5.2,NA,19/11/2019,0.06
912353835,Batemans,BMP5,Dalmeny point N of ramp,-36.16112,150.13343,2019,Ecklonia radiata,10,NA,19/11/2019,0.5
912353836,Batemans,BMP5,Dalmeny point N of ramp,-36.16112,150.13343,2019,Ecklonia radiata,25.2,NA,19/11/2019,1.42
2000951,Batemans,BMP3,Dalmeny point S of ramp off Joshs Beach,-36.16932,150.13612,2008,NA,0,Ecklonia radiata,1/04/2008,3.93
912353809,Batemans,BMP3,Dalmeny point S of ramp off Joshs Beach,-36.16932,150.13612,2019,Ecklonia radiata,0,NA,19/11/2019,6.76
912353810,Batemans,BMP3,Dalmeny point S of ramp off Joshs Beach,-36.16932,150.13612,2019,Ecklonia radiata,0,NA,19/11/2019,8.64
912353811,Batemans,BMP3,Dalmeny point S of ramp off Joshs Beach,-36.16932,150.13612,2019,Ecklonia radiata,15.2,NA,19/11/2019,0.8
912353812,Batemans,BMP3,Dalmeny point S of ramp off Joshs Beach,-36.16932,150.13612,2019,Ecklonia radiata,3.6,NA,19/11/2019,0.9
812300051,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2005,Ecklonia radiata,5.6,NA,6/12/2005,2.26
812300052,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2005,Ecklonia radiata,0,NA,6/12/2005,2.92
812300053,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2005,Ecklonia radiata,0,NA,6/12/2005,1.26
812300054,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2005,Ecklonia radiata,0,NA,6/12/2005,0.34
812318821,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2007,Ecklonia radiata,0,NA,10/12/2007,1.02
812318822,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2007,Ecklonia radiata,4.4,NA,10/12/2007,0.24
812318823,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2007,Ecklonia radiata,0,NA,10/12/2007,0.36
812318824,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2007,Ecklonia radiata,0,NA,10/12/2007,0.06
812331211,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2017,Ecklonia radiata,0,NA,24/11/2017,3.68
812331212,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2017,Ecklonia radiata,0,NA,24/11/2017,2.46
812331213,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2017,Ecklonia radiata,0,NA,24/11/2017,1.48
812331214,Batemans,BMP-S5,Durras Mountain,-35.59893,150.34279,2017,Ecklonia radiata,0,NA,24/11/2017,1.06
